rate: start_time, end_time
0.0: 389768.641729708, 389773.661324083
12.4: 389773.669324083, 389779.496360917
8.4: 389784.510909875, 389790.373863292
14.8: 389795.405902208, 389801.264096667
9.2: 389806.29195829196, 389812.112799208
11.6: 389817.138900875, 389822.977430833
10.8: 389828.00336408295, 389833.83614270797
10.0: 389838.85966849996, 389844.69994129206
13.2: 389849.74141116696, 389855.56604520796
15.6: 389860.598558417, 389866.44685316697
14.0: 389871.46694783296, 389877.306718333
