trial_0: [279914.89285475, 279919.937322]
trial_1: [279927.504194417, 279932.546606667]
trial_2: [279940.12026825, 279945.166289625]
trial_3: [279952.734783209, 279957.79601870896]
trial_4: [279965.3691955, 279970.388195417]
trial_5: [279977.933846167, 279982.969709459]
trial_6: [279990.567368, 279995.60731587495]
trial_7: [280003.166647, 280008.228141542]
trial_8: [280015.791344792, 280020.81051187497]
trial_9: [280028.349576792, 280033.371076667]
trial_10: [280040.92987012496, 280045.960470084]
trial_11: [280053.49954399996, 280058.530564125]
trial_12: [280066.09390854195, 280071.162438042]
trial_13: [280078.72776054195, 280083.751312209]
trial_14: [280091.294192875, 280096.32315141696]
trial_15: [280103.86689629196, 280108.888529]
prompts: ['Right Fist', 'Left Fist', 'Left Fist', 'Right Fist', 'Swim', 'Right Fist', 'Right Fist', 'Left Fist', 'Typing', 'Left Fist', 'Typing', 'Swim', 'Typing', 'Swim', 'Swim', 'Typing']
