4203.5361328125, -3619.32861328125, -1707.8743896484375, -130.06480407714844, -3506.809814453125, -2941.422607421875, 5275.97265625, 11818.6640625
4329.13037109375, -3887.840087890625, -1939.8408203125, -157.62449645996094, -3668.390625, -2969.42919921875, 5399.39892578125, 11797.384765625
4226.24560546875, -3911.57763671875, -1807.6302490234375, -165.4923095703125, -3656.276123046875, -2979.979248046875, 5242.35595703125, 11800.6708984375
4090.816162109375, -3650.732666015625, -1568.93603515625, -141.17361450195312, -3498.405517578125, -2952.06201171875, 5097.38232421875, 11821.994140625
4167.7060546875, -3591.388916015625, -1693.122314453125, -131.80824279785156, -3483.429931640625, -2943.009521484375, 5228.16259765625, 11817.5908203125
4327.54345703125, -3856.368896484375, -1959.376220703125, -150.7401580810547, -3642.149658203125, -2966.65771484375, 5388.759765625, 11792.9140625
4259.482421875, -3942.624267578125, -1852.9149169921875, -165.0452880859375, -3672.548095703125, -2983.264892578125, 5272.28466796875, 11794.5908203125
4103.7578125, -3703.438232421875, -1588.873779296875, -146.44862365722656, -3517.203369140625, -2961.24853515625, 5107.35107421875, 11819.22265625
4145.7119140625, -3560.610595703125, -1626.8270263671875, -138.13377380371094, -3462.79931640625, -2941.422607421875, 5196.55712890625, 11826.93359375
4304.923828125, -3782.205810546875, -1873.9925537109375, -156.84219360351562, -3611.796142578125, -2960.62255859375, 5390.86083984375, 11806.50390625
4284.9189453125, -3942.2666015625, -1870.5950927734375, -163.1453857421875, -3682.829833984375, -2984.896728515625, 5314.03759765625, 11795.5966796875
4123.181640625, -3550.6640625, -1579.6201171875, -128.0531463623047, -3449.075439453125, -2940.953125, 5159.8779296875, 11825.66015625
4288.83056640625, -3729.991943359375, -1844.041259765625, -147.56622314453125, -3582.56005859375, -2957.962890625, 5364.46337890625, 11806.705078125
4310.55615234375, -3950.76025390625, -1924.395751953125, -166.27462768554688, -3688.954345703125, -2989.3447265625, 5341.4189453125, 11790.9697265625
4159.68212890625, -3804.24462890625, -1672.9610595703125, -155.724609375, -3572.568603515625, -2977.677001953125, 5150.9150390625, 11809.4990234375
4105.88134765625, -3563.896240234375, -1554.295654296875, -137.0161895751953, -3448.62841796875, -2946.5634765625, 5133.32421875, 11828.3642578125
4247.79248046875, -3685.243896484375, -1795.91796875, -142.6711883544922, -3551.8486328125, -2953.313720703125, 5341.4189453125, 11816.4287109375
4311.33837890625, -3939.897216796875, -1934.2529296875, -170.2308807373047, -3690.317626953125, -2981.45458984375, 5374.3876953125, 11798.7255859375
4169.5166015625, -3845.639892578125, -1711.2271728515625, -169.6273956298828, -3606.699951171875, -2975.978271484375, 5188.93505859375, 11814.595703125
4069.760986328125, -3583.23046875, -1533.3743896484375, -141.4641876220703, -3460.139404296875, -2947.211669921875, 5120.73974609375, 11837.1259765625
4203.22314453125, -3641.143798828125, -1744.084228515625, -143.81112670898438, -3528.535888671875, -2946.943359375, 5309.34375, 11826.0625
4313.35009765625, -3917.232666015625, -1944.1099853515625, -169.2250518798828, -3682.8076171875, -2976.782958984375, 5392.49267578125, 11801.4970703125
4196.40576171875, -3892.57861328125, -1758.3447265625, -164.5535430908203, -3639.266357421875, -2979.979248046875, 5216.51708984375, 11809.365234375
4085.29541015625, -3619.775634765625, -1540.34814453125, -141.41949462890625, -3480.814697265625, -2952.419677734375, 5098.61181640625, 11831.4267578125
4190.88525390625, -3602.363525390625, -1704.9910888671875, -140.70423889160156, -3505.513427734375, -2947.345703125, 5262.2041015625, 11826.1513671875
4326.13525390625, -3878.4970703125, -1946.0322265625, -163.7935791015625, -3669.70947265625, -2973.899658203125, 5392.82763671875, 11801.9892578125
4231.69921875, -3923.37939453125, -1823.5, -163.52536010742188, -3666.937744140625, -2987.958740234375, 5241.6630859375, 11801.921875
4089.87744140625, -3673.1962890625, -1573.875732421875, -140.23484802246094, -3502.56298828125, -2966.83642578125, 5091.23583984375, 11820.8984375
4153.5126953125, -3583.409423828125, -1661.0474853515625, -141.3971405029297, -3476.38916015625, -2954.83349609375, 5219.4677734375, 11823.044921875
4307.44921875, -3835.648681640625, -1926.8544921875, -170.4990997314453, -3636.11474609375, -2976.067626953125, 5389.921875, 11801.921875
4252.93359375, -3944.501708984375, -1859.7098388671875, -174.4553680419922, -3676.7724609375, -2990.3056640625, 5277.87255859375, 11800.5810546875
4092.0009765625, -3717.45263671875, -1593.0087890625, -143.5652618408203, -3527.194580078125, -2963.796630859375, 5106.54638671875, 11824.810546875
4117.5263671875, -3563.8515625, -1623.4295654296875, -130.62359619140625, -3458.172607421875, -2945.021240234375, 5186.431640625, 11832.6337890625
4286.34912109375, -3778.785888671875, -1909.3306884765625, -151.43307495117188, -3604.91162109375, -2961.203857421875, 5376.6005859375, 11809.72265625
4275.7099609375, -3958.516357421875, -1914.8515625, -168.33099365234375, -3681.71240234375, -2987.802490234375, 5315.78125, 11798.6142578125
4115.64892578125, -3762.06689453125, -1620.747314453125, -156.1492919921875, -3548.585205078125, -2972.804443359375, 5136.94482421875, 11818.73046875
4097.25341796875, -3554.307373046875, -1562.2974853515625, -135.7421417236328, -3447.1083984375, -2947.189208984375, 5159.69921875, 11830.2646484375
4263.77392578125, -3729.9697265625, -1828.8643798828125, -146.3368682861328, -3573.6640625, -2957.783935546875, 5362.541015625, 11809.7001953125
4299.98388671875, -3948.413330078125, -1917.35498046875, -167.01223754882812, -3688.775390625, -2981.25341796875, 5351.25341796875, 11796.1103515625
4154.45166015625, -3802.076416015625, -1680.0018310546875, -160.01614379882812, -3583.11865234375, -2970.189208984375, 5158.60400390625, 11814.55078125
