rate: start_time, end_time
baseline: 282574.22169962496, 282579.24209404195
15.600000000000007: 282579.254094042, 282582.774534334
14.800000000000006: 282587.776657959, 282591.278922625
8.4: 282596.297655875, 282599.810905375
9.200000000000001: 282604.82794812496, 282608.339722167
10.000000000000002: 282613.36260037497, 282616.86543612496
14.000000000000005: 282621.874528125, 282625.389090959
12.400000000000004: 282630.416417417, 282633.962378375
11.600000000000003: 282639.003194084, 282642.523565167
10.800000000000002: 282647.558127917, 282651.086941125
13.200000000000005: 282656.100336417, 282659.617912084
