rate: start_time, end_time
baseline: 376010.692875458, 376015.71942416596
14.800000000000006: 376015.727424166, 376023.549614375
10.000000000000002: 376028.56856075, 376036.411669291
15.600000000000007: 376041.416965083, 376049.252693125
9.200000000000001: 376054.28015299997, 376062.09731549997
12.400000000000004: 376067.160505916, 376075.03328229097
11.600000000000003: 376080.09116354096, 376087.90153904096
10.800000000000002: 376092.909394875, 376100.752338833
13.200000000000005: 376105.779831041, 376113.572064875
8.4: 376118.61038120795, 376126.39714591595
14.000000000000005: 376131.427847958, 376140.279294708
