rate: start_time, end_time
0.00: 389674.68209691695, 389675.725175583
9.20: 389675.733175583, 389676.918053417
14.80: 389677.933044042, 389679.106108833
13.20: 389680.112164917, 389681.286317167
12.40: 389682.28755174996, 389683.463340375
10.80: 389684.47319887497, 389685.643831375
15.60: 389686.66045362497, 389687.829469
11.60: 389688.84100562497, 389690.01445525
8.40: 389691.021576208, 389692.19507024996
10.00: 389693.200606667, 389694.367714167
14.00: 389695.378617958, 389696.575165417
